plan_id,plan_name,plan_type,coverage_region,deductible_amount,out_of_pocket_max,copay_primary,copay_specialist,coinsurance_rate,effective_date,termination_date
PLAN-001,Gold PPO,PPO,National,1000,6000,25,50,20,1/1/2025,NULL
PLAN-002,Silver HMO,HMO,CA,2500,8000,35,70,30,1/1/2025,NULL
PLAN-003,Bronze EPO,EPO,TX,5000,9000,50,90,40,1/1/2025,NULL
PLAN-004,Gold HDHP,HDHP,National,3000,7000,30,60,20,6/1/2025,NULL
PLAN-005,Silver PPO,PPO,NY,2000,7500,30,65,25,1/1/2024,12/31/2025
PLAN-006,Bronze PPO,PPO,National,4734.68,8139.54,41.0,90.0,40.0,2/1/2025,NULL
PLAN-007,Silver PPO,PPO,TX,2063.57,7093.7,28.0,55.0,25.0,9/3/2025,NULL
PLAN-008,Gold PPO,PPO,NY,1158.71,5330.66,24.0,43.0,20.0,4/23/2025,NULL
PLAN-009,Platinum PPO,PPO,FL,388.94,4215.31,15.0,28.0,10.0,3/23/2023,NULL
PLAN-010,Bronze HMO,HMO,IL,5031.87,8264.52,40.0,87.0,40.0,7/4/2023,NULL
PLAN-011,Silver HMO,HMO,WA,3770.9,7361.64,28.0,57.0,25.0,2/13/2025,11/20/2026
PLAN-012,Gold HMO,HMO,MA,1488.92,6282.98,16.0,47.0,20.0,11/8/2023,NULL
PLAN-013,Platinum HMO,HMO,National,331.33,4355.27,20.0,33.0,10.0,8/21/2024,NULL
PLAN-014,Bronze EPO,EPO,MI,4734.43,8462.26,44.0,90.0,40.0,11/21/2025,NULL
PLAN-015,Silver EPO,EPO,CO,3685.7,7776.0,28.0,56.0,25.0,9/8/2025,NULL
PLAN-016,Gold EPO,EPO,AZ,1124.42,6327.02,25.0,49.0,20.0,7/9/2024,4/21/2026
PLAN-017,Platinum EPO,EPO,GA,530.68,4262.74,19.0,38.0,10.0,5/5/2023,NULL
PLAN-018,Bronze HDHP,HDHP,PA,6992.61,8509.53,41.0,80.0,40.0,7/12/2025,NULL
PLAN-019,Silver HDHP,HDHP,CA,3360.96,7596.41,31.0,67.0,25.0,3/21/2023,NULL
PLAN-020,Gold HDHP,HDHP,National,1164.92,6413.65,25.0,38.0,20.0,8/17/2025,NULL
PLAN-021,Platinum HDHP,HDHP,NY,570.48,4111.55,16.0,30.0,10.0,9/25/2025,NULL
PLAN-022,Bronze PPO,PPO,FL,4790.17,8500.59,42.0,88.0,40.0,1/24/2024,NULL
PLAN-023,Silver PPO,PPO,IL,3015.33,7198.91,30.0,60.0,25.0,11/10/2023,NULL
PLAN-024,Gold PPO,PPO,WA,1116.45,5167.8,20.0,44.0,20.0,9/1/2025,NULL
PLAN-025,Platinum PPO,PPO,MA,723.47,4085.65,17.0,27.0,10.0,1/8/2023,NULL
PLAN-026,Bronze HMO,HMO,OH,6840.55,8165.13,48.0,89.0,40.0,3/5/2025,NULL
PLAN-027,Silver HMO,HMO,National,3379.74,7712.95,31.0,66.0,25.0,4/18/2024,NULL
PLAN-028,Gold HMO,HMO,CO,918.52,5507.13,24.0,52.0,20.0,9/15/2024,NULL
PLAN-029,Platinum HMO,HMO,AZ,702.71,4859.64,11.0,32.0,10.0,10/8/2023,4/3/2025
PLAN-030,Bronze EPO,EPO,GA,4396.94,8935.51,49.0,89.0,40.0,11/16/2024,NULL
PLAN-031,Silver EPO,EPO,PA,2814.12,7094.33,35.0,68.0,25.0,4/26/2024,NULL
PLAN-032,Gold EPO,EPO,CA,1296.81,6010.05,25.0,38.0,20.0,7/14/2024,NULL
PLAN-033,Platinum EPO,EPO,TX,680.84,4248.66,13.0,39.0,10.0,7/24/2023,NULL
PLAN-034,Bronze HDHP,HDHP,National,4749.42,8923.27,47.0,88.0,40.0,7/6/2023,NULL
PLAN-035,Silver HDHP,HDHP,FL,3672.06,7969.0,28.0,60.0,25.0,1/21/2023,NULL
PLAN-036,Gold HDHP,HDHP,IL,1050.78,5087.95,21.0,35.0,20.0,8/16/2024,NULL
PLAN-037,Platinum HDHP,HDHP,WA,392.62,4696.59,18.0,40.0,10.0,5/26/2024,NULL
PLAN-038,Bronze PPO,PPO,MA,4175.45,8735.74,40.0,85.0,40.0,4/10/2023,NULL
PLAN-039,Silver PPO,PPO,OH,3838.77,7531.13,25.0,57.0,25.0,1/19/2023,NULL
PLAN-040,Gold PPO,PPO,MI,1456.2,5854.51,24.0,54.0,20.0,2/20/2023,7/4/2025
PLAN-041,Platinum PPO,PPO,National,541.84,4522.78,14.0,31.0,10.0,10/3/2023,NULL
PLAN-042,Bronze HMO,HMO,AZ,5187.36,8671.69,44.0,87.0,40.0,12/11/2025,NULL
PLAN-043,Silver HMO,HMO,GA,3996.91,7996.1,26.0,61.0,25.0,2/1/2024,NULL
PLAN-044,Gold HMO,HMO,PA,1410.65,6318.91,20.0,44.0,20.0,5/5/2025,NULL
PLAN-045,Platinum HMO,HMO,CA,401.26,4983.85,20.0,25.0,10.0,8/27/2023,NULL
PLAN-046,Bronze EPO,EPO,TX,4310.76,8878.13,44.0,81.0,40.0,9/10/2025,NULL
PLAN-047,Silver EPO,EPO,NY,2563.51,7210.63,30.0,61.0,25.0,12/18/2023,NULL
PLAN-048,Gold EPO,EPO,National,1116.4,6358.0,15.0,37.0,20.0,11/28/2025,NULL
PLAN-049,Platinum EPO,EPO,IL,251.77,4771.12,20.0,33.0,10.0,7/27/2025,NULL
PLAN-050,Bronze HDHP,HDHP,WA,5283.06,8009.67,41.0,82.0,40.0,12/15/2023,NULL
PLAN-051,Silver HDHP,HDHP,MA,3105.05,7429.79,25.0,64.0,25.0,1/27/2025,NULL
PLAN-052,Gold HDHP,HDHP,OH,937.15,5154.19,23.0,48.0,20.0,1/12/2024,NULL
PLAN-053,Platinum HDHP,HDHP,MI,368.37,4162.5,12.0,38.0,10.0,12/5/2025,NULL
PLAN-054,Bronze PPO,PPO,CO,6347.16,8411.71,50.0,83.0,40.0,3/24/2023,NULL
PLAN-055,Silver PPO,PPO,National,2765.08,7038.72,32.0,62.0,25.0,3/26/2024,NULL
PLAN-056,Gold PPO,PPO,GA,1346.51,5341.39,15.0,41.0,20.0,8/12/2023,NULL
PLAN-057,Platinum PPO,PPO,PA,733.44,4279.12,20.0,37.0,10.0,6/9/2024,NULL
PLAN-058,Bronze HMO,HMO,CA,4346.03,8970.4,42.0,89.0,40.0,9/11/2025,NULL
PLAN-059,Silver HMO,HMO,TX,2691.37,7786.43,31.0,58.0,25.0,1/4/2024,NULL
PLAN-060,Gold HMO,HMO,NY,1281.59,5002.54,23.0,41.0,20.0,10/7/2024,NULL
PLAN-061,Platinum HMO,HMO,FL,710.39,4623.16,20.0,28.0,10.0,7/3/2024,NULL
PLAN-062,Bronze EPO,EPO,National,5225.18,8402.4,44.0,88.0,40.0,5/17/2025,NULL
PLAN-063,Silver EPO,EPO,WA,2758.29,7748.13,27.0,64.0,25.0,4/14/2023,NULL
PLAN-064,Gold EPO,EPO,MA,1339.32,5909.99,20.0,49.0,20.0,9/27/2024,4/14/2026
PLAN-065,Platinum EPO,EPO,OH,486.59,4901.18,12.0,27.0,10.0,8/22/2024,NULL
PLAN-066,Bronze HDHP,HDHP,MI,5005.56,8818.42,43.0,90.0,40.0,9/22/2024,NULL
PLAN-067,Silver HDHP,HDHP,CO,2048.85,7244.84,32.0,57.0,25.0,4/26/2024,NULL
PLAN-068,Gold HDHP,HDHP,AZ,1288.76,5575.97,21.0,42.0,20.0,7/21/2024,NULL
PLAN-069,Platinum HDHP,HDHP,National,337.94,4957.97,18.0,39.0,10.0,11/23/2023,7/8/2025
PLAN-070,Bronze PPO,PPO,PA,4364.08,8133.34,47.0,90.0,40.0,9/8/2023,NULL
PLAN-071,Silver PPO,PPO,CA,3510.5,7442.57,33.0,68.0,25.0,9/20/2025,NULL
PLAN-072,Gold PPO,PPO,TX,1106.01,5388.79,18.0,55.0,20.0,8/6/2025,NULL
PLAN-073,Platinum PPO,PPO,NY,387.3,4077.48,14.0,32.0,10.0,9/16/2024,NULL
PLAN-074,Bronze HMO,HMO,FL,4241.73,8150.83,46.0,82.0,40.0,6/11/2024,NULL
PLAN-075,Silver HMO,HMO,IL,2661.76,7465.92,25.0,61.0,25.0,4/3/2025,NULL
