"dataset_name","field_name","data_type","key_status","is_required","references","business_definition"
"patient_accounts","member_id","VARCHAR(20)","PK","Yes","None","Unique alphanumeric identifier assigned to an enrolled member/patient."
"patient_accounts","first_name","VARCHAR(50)","None","Yes","None","Member legal first name."
"patient_accounts","last_name","VARCHAR(50)","None","Yes","None","Member legal last name."
"patient_accounts","date_of_birth","DATE","None","Yes","None","Member birth date in ISO 8601 format (YYYY-MM-DD)."
"patient_accounts","gender","VARCHAR(10)","None","Yes","None","Administrative gender of the member (M, F, Other)."
"patient_accounts","address_line1","VARCHAR(100)","None","Yes","None","Primary residential street address."
"patient_accounts","address_line2","VARCHAR(50)","None","No","None","Secondary residential address line (apartment, suite, unit)."
"patient_accounts","city","VARCHAR(50)","None","Yes","None","Residential city name."
"patient_accounts","state","VARCHAR(2)","None","Yes","None","Two-letter US postal state abbreviation code."
"patient_accounts","zip_code","VARCHAR(10)","None","Yes","None","Five-digit or ZIP+4 postal code."
"patient_accounts","phone_number","VARCHAR(20)","None","Yes","None","Primary contact telephone number."
"patient_accounts","email","VARCHAR(100)","None","No","None","Member electronic mail address."
"patient_accounts","plan_id","VARCHAR(20)","FK","Yes","insurance_plans.plan_id","Identifier of the active health insurance plan in which the member is enrolled."
"patient_accounts","effective_date","DATE","None","Yes","None","Effective policy start date for insurance coverage."
"patient_accounts","termination_date","DATE","None","No","None","Date coverage ended (NULL if policy is currently active)."
"patient_accounts","primary_provider_id","VARCHAR(20)","FK","No","providers.provider_id","Identifier of designated Primary Care Provider (PCP)."
"providers","provider_id","VARCHAR(20)","PK","Yes","None","Unique identifier for healthcare provider or medical facility."
"providers","provider_name","VARCHAR(100)","None","Yes","None","Official legal name of the practicing physician or healthcare facility."
"providers","npi_number","VARCHAR(10)","None","Yes","None","Standard 10-digit National Provider Identifier (NPI)."
"providers","specialty","VARCHAR(50)","None","Yes","None","Primary medical specialty or facility classification."
"providers","tax_id","VARCHAR(15)","None","Yes","None","Federal Employer Identification Number (EIN) or Tax ID."
"providers","address_line1","VARCHAR(100)","None","Yes","None","Physical practice facility street address."
"providers","address_line2","VARCHAR(50)","None","No","None","Practice suite, floor, or building identifier."
"providers","city","VARCHAR(50)","None","Yes","None","Practice location city."
"providers","state","VARCHAR(2)","None","Yes","None","Two-letter US postal state abbreviation code."
"providers","zip_code","VARCHAR(10)","None","Yes","None","Practice location postal ZIP code."
"providers","phone_number","VARCHAR(20)","None","Yes","None","Practice primary contact telephone number."
"providers","contract_status","VARCHAR(20)","None","Yes","None","Current contractual status with the payer (Active, Terminated, Pending)."
"providers","network_tier","VARCHAR(30)","None","Yes","None","Network tier participation status (In-Network, Out-of-Network, Preferred)."
"insurance_plans","plan_id","VARCHAR(20)","PK","Yes","None","Unique identifier for the health benefit insurance plan product."
"insurance_plans","plan_name","VARCHAR(50)","None","Yes","None","Commercial marketing title of the insurance plan."
"insurance_plans","plan_type","VARCHAR(10)","None","Yes","None","Health plan benefit design type (PPO, HMO, EPO, HDHP)."
"insurance_plans","coverage_region","VARCHAR(50)","None","Yes","None","Geographical territory where the plan is licensed and active."
"insurance_plans","deductible_amount","NUMERIC(10,2)","None","Yes","None","Annual deductible amount in USD required before cost-sharing applies."
"insurance_plans","out_of_pocket_max","NUMERIC(10,2)","None","Yes","None","Maximum annual out-of-pocket financial liability limit in USD."
"insurance_plans","copay_primary","NUMERIC(10,2)","None","Yes","None","Fixed copayment amount in USD for in-network primary care visits."
"insurance_plans","copay_specialist","NUMERIC(10,2)","None","Yes","None","Fixed copayment amount in USD for specialist physician visits."
"insurance_plans","coinsurance_rate","NUMERIC(5,2)","None","Yes","None","Percentage of covered expenses paid by the member after deductible is met."
"insurance_plans","effective_date","DATE","None","Yes","None","Effective initiation date of plan offering."
"insurance_plans","termination_date","DATE","None","No","None","Termination date of plan offering (NULL if currently active)."
"procedure_catalog","procedure_code","VARCHAR(20)","PK","Yes","None","Standardized CPT or HCPCS medical procedure code."
"procedure_catalog","procedure_description","VARCHAR(255)","None","Yes","None","Official clinical description of the medical procedure or service."
"procedure_catalog","procedure_category","VARCHAR(50)","None","Yes","None","Clinical procedure category (Surgery, Eval & Management, Radiology, etc.)."
"procedure_catalog","billing_modifier","VARCHAR(10)","None","No","None","Standard billing modifier code altering service delivery circumstances."
"procedure_catalog","allowed_amount","NUMERIC(10,2)","None","Yes","None","Standard allowable fee-schedule reimbursement rate in USD."
"procedure_catalog","coverage_policy_id","VARCHAR(20)","FK","No","document_metadata.doc_id","Identifier of associated coverage policy document in knowledge corpus."
"procedure_catalog","is_active","BOOLEAN","None","Yes","None","Flag indicating whether procedure code is currently active and billable (TRUE/FALSE)."
"claims_ledger","claim_id","VARCHAR(20)","PK","Yes","None","Unique transaction identifier for the medical claim header record."
"claims_ledger","member_id","VARCHAR(20)","FK","Yes","patient_accounts.member_id","Identifier of enrolled patient receiving healthcare services."
"claims_ledger","provider_id","VARCHAR(20)","FK","Yes","providers.provider_id","Identifier of healthcare provider or facility submitting the claim."
"claims_ledger","plan_id","VARCHAR(20)","FK","Yes","insurance_plans.plan_id","Identifier of insurance plan against which the claim is adjudicated."
"claims_ledger","claim_received_date","DATE","None","Yes","None","Calendar date when claim transaction was received and logged by payer."
"claims_ledger","claim_service_start_date","DATE","None","Yes","None","First calendar date of medical service delivery."
"claims_ledger","claim_service_end_date","DATE","None","Yes","None","Final calendar date of medical service delivery."
"claims_ledger","claim_status","VARCHAR(20)","None","Yes","None","Current adjudication processing status (Paid, Denied, Pending, Submitted)."
"claims_ledger","total_billed_amount","NUMERIC(10,2)","None","Yes","None","Total dollar charge amount submitted by provider across all service lines."
"claims_ledger","total_allowed_amount","NUMERIC(10,2)","None","Yes","None","Total fee-schedule allowable amount approved by payer for reimbursement."
"claims_ledger","total_paid_amount","NUMERIC(10,2)","None","Yes","None","Total dollar disbursement actually paid by payer."
"claims_ledger","diagnosis_code_primary","VARCHAR(20)","None","Yes","None","Primary ICD-10 clinical diagnosis code justifying medical necessity."
"claims_ledger","diagnosis_code_secondary","VARCHAR(20)","None","No","None","Secondary or supporting ICD-10 clinical diagnosis code."
"claim_line_items","claim_line_id","VARCHAR(20)","PK","Yes","None","Unique identifier for individual service line item within a claim."
"claim_line_items","claim_id","VARCHAR(20)","FK","Yes","claims_ledger.claim_id","Identifier of parent claim header transaction."
"claim_line_items","line_number","INTEGER","None","Yes","None","Sequential index position of the service line within the parent claim."
"claim_line_items","procedure_code","VARCHAR(20)","FK","Yes","procedure_catalog.procedure_code","CPT or HCPCS code representing the specific medical service rendered."
"claim_line_items","service_date","DATE","None","Yes","None","Specific date of service for this line item."
"claim_line_items","billed_amount","NUMERIC(10,2)","None","Yes","None","Dollar charge amount billed by provider for this specific line item."
"claim_line_items","allowed_amount","NUMERIC(10,2)","None","Yes","None","Allowable fee-schedule dollar amount approved for this line item."
"claim_line_items","paid_amount","NUMERIC(10,2)","None","Yes","None","Final reimbursement dollar amount paid for this line item."
"claim_line_items","units","INTEGER","None","Yes","None","Number of procedure units or services performed."
"claim_line_items","modifier_code","VARCHAR(10)","None","No","None","CPT or HCPCS modifier altering clinical circumstances."
"claim_line_items","denial_reason_code","VARCHAR(50)","None","No","None","Standard Claim Adjustment Reason Code (CARC) explaining line denial."
